1,1,50,electric,false,2018-10-28,2018-10-21
3,1,80,cleaning,true,2018-10-12,2018-10-21
4,1,90,heating,false,2018-10-30,2018-10-21
2,2,100,water,false,2018-10-14,2018-10-21
5,3,80,water,false,2018-10-30,2018-10-21
6,3,100,electric,false,2018-10-15,2018-10-21
7,4,60,heating,true,2018-10-14,2018-10-21
8,4,30,electric,false,2018-10-20,2018-10-21
9,5,90,cleaning,false,2018-10-24,2018-10-21
12,5,110,electric,true,2018-10-30,2018-10-21
10,6,100,heating,false,2018-10-22,2018-10-21
11,6,80,cleaning,false,2018-10-26,2018-10-21
